Order_ID,Order_Date,Retailer_ID,Product_SKU,Sum of Product_Price,Sum of Product_Cost,Sum of Order_Quantity,Sum of Sales_Amount,Sum of Cost_of_Goods_Sold,Sum of Product_Discount,Sum of Profit,Sum of Profit_Margin
1,2018-01-01 00:00:00,99,MH01-S-Gray,38,14,29,1102,406,0.07317073170731707,696,0.631578947368421
2,2018-01-01 00:00:00,477,MH01-S-Orange,33,8.58,29,957,248.82,0.15384615384615385,708.1800000000001,0.7400000000000001
3,2018-01-01 00:00:00,399,MH01-XL-Black,36,20.25,12,432,243,0.14285714285714285,189,0.4375
4,2018-01-01 00:00:00,131,MH01-XL-Gray,37,18.57,8,296,148.56,0.17777777777777778,147.44,0.4981081081081081
5,2018-01-01 00:00:00,682,MH01-XL-Orange,37,13.14,4,148,52.56,0.075,95.44,0.6448648648648648
6,2018-01-01 00:00:00,626,MH01-XS-Black,43,9.98,4,172,39.92,0,132.07999999999998,0.767906976744186
7,2018-01-01 00:00:00,369,MH01-XS-Gray,27,12.96,12,324,155.52,0.35714285714285715,168.48,0.52
8,2018-01-01 00:00:00,760,MH01-XS-Orange,26,18.45,15,390,276.75,0.3953488372093023,113.25,0.2903846153846154
9,2018-01-01 00:00:00,199,MH02-S-Blue,20,17.37,12,240,208.44,0.5555555555555556,31.560000000000002,0.1315
10,2018-01-01 00:00:00,616,MH02-L-Black,36,14.38,49,1764,704.62,0.12195121951219512,1059.38,0.6005555555555556
11,2018-01-02 00:00:00,506,MH02-L-Purple,39,14.42,42,1638,605.64,0.11363636363636363,1032.3600000000001,0.6302564102564103
12,2018-01-02 00:00:00,288,MH02-L-Red,43,20.59,17,731,350.03,0.022727272727272728,380.97,0.5211627906976745
13,2018-01-02 00:00:00,539,MH02-M-Black,36,11.700000000000001,3,108,35.1,0.2,72.9,0.675
14,2018-01-03 00:00:00,584,MH02-M-Purple,44,15.62,23,1012,359.26,0,652.74,0.645
15,2018-01-03 00:00:00,203,MH02-M-Red,38,15.8,11,418,173.8,0.09523809523809523,244.2,0.5842105263157894
16,2018-01-03 00:00:00,768,MH02-S-Black,36,13.68,25,900,342,0.16279069767441862,558,0.62
17,2018-01-03 00:00:00,677,MH02-S-Purple,25,13.870000000000001,29,725,402.23,0.4444444444444444,322.77,0.4452
18,2018-01-03 00:00:00,49,MH02-S-Red,27,22.8,6,162,136.8,0.37209302325581395,25.19999999999999,0.15555555555555547
19,2018-01-03 00:00:00,440,MH02-XL-Black,39,16.3,43,1677,700.9,0.07142857142857142,976.1,0.5820512820512821
20,2018-01-03 00:00:00,581,MH02-XL-Purple,40,17.93,21,840,376.53,0.1111111111111111,463.47,0.5517500000000001
21,2018-01-03 00:00:00,454,MH02-XL-Red,44,22.880000000000003,5,220,114.4,0.022222222222222223,105.6,0.48
22,2018-01-03 00:00:00,379,MH02-XS-Black,26,16.12,43,1118,693.16,0.35,424.84000000000003,0.38
23,2018-01-03 00:00:00,86,MH02-XS-Purple,38,18.62,48,1824,893.76,0.13636363636363635,930.24,0.51
24,2018-01-03 00:00:00,382,MH02-XS-Red,23,10.43,6,138,62.58,0.28125,75.42,0.5465217391304348
25,2018-01-03 00:00:00,119,MH03-S-Red,36,17.32,24,864,415.68,0.18181818181818182,448.32,0.5188888888888888
26,2018-01-03 00:00:00,752,MH03-L-Black,42,14.280000000000001,49,2058,699.72,0.06666666666666667,1358.28,0.66
27,2018-01-03 00:00:00,776,MH03-L-Blue,37,14.69,41,1517,602.29,0.17777777777777778,914.71,0.602972972972973
28,2018-01-03 00:00:00,360,MH03-L-Green,35,11.950000000000001,33,1155,394.35,0.20454545454545456,760.65,0.6585714285714286
29,2018-01-04 00:00:00,570,MH03-M-Black,28,16.16,2,56,32.32,0.36363636363636365,23.68,0.4228571428571429
30,2018-01-04 00:00:00,542,MH03-M-Blue,45,16.14,23,1035,371.22,0,663.78,0.6413333333333333
31,2018-01-04 00:00:00,677,MH03-M-Green,24,17.55,30,720,526.5,0.4666666666666667,193.5,0.26875
32,2018-01-04 00:00:00,67,MH03-S-Black,34,21.8,1,34,21.8,0.24444444444444444,12.2,0.3588235294117647
33,2018-01-04 00:00:00,89,MH03-S-Blue,30,14.18,46,1380,652.28,0.3181818181818182,727.72,0.5273333333333333
34,2018-01-04 00:00:00,33,MH03-S-Green,45,23.91,19,855,454.29,0,400.71,0.4686666666666666
35,2018-01-04 00:00:00,257,MH03-XL-Black,39,18.63,34,1326,633.42,0.13333333333333333,692.58,0.5223076923076924
36,2018-01-04 00:00:00,282,MH03-XL-Blue,37,18.29,29,1073,530.41,0.17777777777777778,542.59,0.5056756756756757
37,2018-01-04 00:00:00,327,MH03-XL-Green,34,13.43,17,578,228.31,0.20930232558139536,349.69,0.605
38,2018-01-04 00:00:00,295,MH03-XS-Black,35,11.93,27,945,322.11,0.05405405405405406,622.89,0.6591428571428571
39,2018-01-04 00:00:00,664,MH03-XS-Blue,40,16.24,46,1840,747.04,0.047619047619047616,1092.96,0.594
40,2018-01-04 00:00:00,189,MH03-XS-Green,22,12.260000000000002,23,506,281.98,0.4634146341463415,224.01999999999998,0.4427272727272727
41,2018-01-04 00:00:00,149,MH04-S-Red,38,13.469999999999999,6,228,80.82,0.05,147.18,0.6455263157894737
42,2018-01-05 00:00:00,161,MH04-L-Green,20,12.29,30,600,368.7,0.5555555555555556,231.3,0.3855
43,2018-01-05 00:00:00,416,MH04-L-White,22,8.91,46,1012,409.86,0.5111111111111111,602.14,0.595
44,2018-01-05 00:00:00,647,MH04-L-Yellow,40,15.28,34,1360,519.52,0,840.48,0.618
45,2018-01-05 00:00:00,468,MH04-M-Green,41,20.5,7,287,143.5,0.08888888888888889,143.5,0.5
46,2018-01-05 00:00:00,112,MH04-M-White,39,22.62,6,234,135.72,0,98.28,0.42
47,2018-01-05 00:00:00,762,MH04-M-Yellow,42,16.75,11,462,184.25,0.023255813953488372,277.75,0.6011904761904762
48,2018-01-05 00:00:00,616,MH04-S-Green,31,16.63,3,93,49.89,0.2619047619047619,43.11,0.4635483870967742
49,2018-01-05 00:00:00,106,MH01-L-Orange,35,14.35,2,70,28.7,0.16666666666666666,41.3,0.59
50,2018-01-05 00:00:00,82,MH04-S-White,45,20.55,3,135,61.65,0,73.35,0.5433333333333333
51,2018-01-06 00:00:00,410,MH04-S-Yellow,23,18.22,25,575,455.5,0.4888888888888889,119.5,0.20782608695652174
52,2018-01-06 00:00:00,68,MH04-XL-Green,24,14.08,3,72,42.24,0.45454545454545453,29.759999999999998,0.41333333333333333
53,2018-01-06 00:00:00,117,MH04-XL-White,43,14.51,16,688,232.16,0,455.84000000000003,0.6625581395348837
54,2018-01-06 00:00:00,105,MH04-XL-Yellow,32,13.22,23,736,304.06,0.21951219512195122,431.94,0.586875
55,2018-01-07 00:00:00,291,MH04-XS-Green,26,13.34,1,26,13.34,0.4222222222222222,12.66,0.4869230769230769
56,2018-01-07 00:00:00,606,MH04-XS-White,43,16.5,24,1032,396,0,636,0.6162790697674418
57,2018-01-07 00:00:00,136,MH04-XS-Yellow,31,13.360000000000001,43,1333,574.48,0.24390243902439024,758.52,0.5690322580645161
58,2018-01-07 00:00:00,549,MH05-S-Blue,33,16.009999999999998,39,1287,624.39,0.26666666666666666,662.61,0.5148484848484849
59,2018-01-07 00:00:00,433,MH05-L-Green,28,18.23,11,308,200.53,0.3333333333333333,107.47,0.3489285714285714
60,2018-01-07 00:00:00,452,MH05-L-Red,22,9.69,9,198,87.21,0.47619047619047616,110.79,0.5595454545454546
61,2018-01-07 00:00:00,53,MH05-L-White,21,10.92,47,987,513.24,0.5116279069767442,473.76,0.48
62,2018-01-07 00:00:00,422,MH05-M-Green,35,12.81,44,1540,563.64,0.2222222222222222,976.36,0.634
63,2018-01-08 00:00:00,152,MH05-M-Red,20,11.75,30,600,352.5,0.5348837209302325,247.5,0.4125
64,2018-01-08 00:00:00,559,MH05-M-White,42,15.43,34,1428,524.62,0,903.38,0.6326190476190476
65,2018-01-08 00:00:00,689,MH05-S-Green,39,11.82,32,1248,378.24,0.04878048780487805,869.76,0.6969230769230769
66,2018-01-08 00:00:00,62,MH05-S-Red,27,11.9,3,81,35.7,0.38636363636363635,45.3,0.5592592592592592
67,2018-01-08 00:00:00,67,MH05-S-White,34,21.09,16,544,337.44,0.22727272727272727,206.56,0.37970588235294117
68,2018-01-08 00:00:00,560,MH05-XL-Green,28,9.040000000000001,31,868,280.24,0.034482758620689655,587.76,0.6771428571428572
69,2018-01-08 00:00:00,306,MH05-XL-Red,33,14.15,48,1584,679.2,0.23255813953488372,904.8,0.5712121212121212
70,2018-01-08 00:00:00,122,MH05-XL-White,21,9.42,35,735,329.7,0.38235294117647056,405.3,0.5514285714285715
71,2018-01-08 00:00:00,716,MH05-XS-Green,26,13.780000000000001,24,624,330.72,0.38095238095238093,293.28,0.47
72,2018-01-08 00:00:00,367,MH05-XS-Red,22,18.63,43,946,801.09,0.5111111111111111,144.90999999999997,0.15318181818181814
73,2018-01-08 00:00:00,9,MH05-XS-White,25,12.89,19,475,244.91,0.40476190476190477,230.09,0.4844
74,2018-01-08 00:00:00,395,MH06-S-Red,25,14.920000000000002,49,1225,731.08,0.4444444444444444,493.91999999999996,0.40319999999999995
75,2018-01-09 00:00:00,768,MH06-L-Black,39,14.04,18,702,252.72,0.11363636363636363,449.28,0.64
76,2018-01-09 00:00:00,207,MH06-L-Blue,28,13.419999999999998,20,560,268.4,0.3488372093023256,291.6,0.5207142857142858
77,2018-01-09 00:00:00,191,MH06-L-Purple,27,16.2,31,837,502.2,0.38636363636363635,334.8,0.4
78,2018-01-09 00:00:00,724,MH06-M-Black,28,13.52,19,532,256.88,0.36363636363636365,275.12,0.5171428571428571
79,2018-01-09 00:00:00,722,MH06-M-Blue,38,20.8,29,1102,603.2,0.11627906976744186,498.79999999999995,0.4526315789473684
80,2018-01-09 00:00:00,546,MH06-M-Purple,38,17.86,44,1672,785.84,0.02564102564102564,886.16,0.53
81,2018-01-09 00:00:00,41,MH06-S-Black,26,14.2,18,468,255.6,0.4090909090909091,212.4,0.45384615384615384
82,2018-01-10 00:00:00,658,MH06-S-Blue,43,15.309999999999999,40,1720,612.4,0,1107.6,0.643953488372093
83,2018-01-10 00:00:00,154,MH06-S-Purple,25,14.05,44,1100,618.2,0.40476190476190477,481.79999999999995,0.43799999999999994
84,2018-01-10 00:00:00,475,MH06-XL-Black,21,12.090000000000002,33,693,398.97,0.43243243243243246,294.03,0.42428571428571427
85,2018-01-10 00:00:00,713,MH06-XL-Blue,42,20.96,10,420,209.6,0.045454545454545456,210.4,0.5009523809523809
86,2018-01-10 00:00:00,382,MH06-XL-Purple,23,14.46,12,276,173.52,0.4772727272727273,102.47999999999999,0.3713043478260869
87,2018-01-10 00:00:00,448,MH06-XS-Black,43,15.05,27,1161,406.35,0,754.65,0.65
88,2018-01-10 00:00:00,772,MH02-XS-Red,25,10.43,45,1125,469.35,0.21875,655.65,0.5828
89,2018-01-10 00:00:00,242,MH06-XS-Blue,44,17.95,28,1232,502.6,0,729.4,0.5920454545454545
90,2018-01-11 00:00:00,25,MH06-XS-Purple,44,17.91,50,2200,895.5,0,1304.5,0.5929545454545454
91,2018-01-11 00:00:00,426,MH07-S-White,40,11.729999999999999,3,120,35.19,0,84.81,0.70675
92,2018-01-11 00:00:00,620,MH07-L-Black,25,16,13,325,208,0.4444444444444444,117,0.36
93,2018-01-11 00:00:00,634,MH07-L-Gray,39,19.89,17,663,338.13,0.11363636363636363,324.87,0.49
94,2018-01-12 00:00:00,121,MH07-L-Green,27,9.78,23,621,224.94,0.325,396.06,0.6377777777777778
95,2018-01-12 00:00:00,768,MH07-M-Black,38,14.679999999999998,21,798,308.28,0.15555555555555556,489.72,0.6136842105263158
96,2018-01-12 00:00:00,415,MH07-M-Gray,42,16.39,3,126,49.17,0,76.83,0.6097619047619047
97,2018-01-12 00:00:00,654,MH06-M-Black,24,13.52,29,696,392.08,0.45454545454545453,303.92,0.4366666666666667
98,2018-01-12 00:00:00,699,MH07-M-Green,32,20.03,8,256,160.24,0.2558139534883721,95.75999999999999,0.37406249999999996
99,2018-01-12 00:00:00,367,MH05-L-Green,33,18.23,23,759,419.29,0.21428571428571427,339.71,0.44757575757575757
100,2018-01-12 00:00:00,260,MH06-XL-Black,33,12.09,36,1188,435.24,0.10810810810810811,752.76,0.6336363636363637
101,2018-01-12 00:00:00,428,MH07-S-Black,42,13.709999999999999,14,588,191.94,0.045454545454545456,396.06,0.6735714285714286
102,2018-01-12 00:00:00,345,MH03-M-Black,27,16.16,27,729,436.32,0.38636363636363635,292.68,0.4014814814814815
103,2018-01-12 00:00:00,711,MH07-S-Gray,38,16.330000000000002,27,1026,440.91,0.15555555555555556,585.0899999999999,0.5702631578947368
104,2018-01-12 00:00:00,772,MH07-S-Green,21,14.41,14,294,201.74,0.5333333333333333,92.25999999999999,0.31380952380952376
105,2018-01-12 00:00:00,27,MH07-XL-Black,37,17.7,13,481,230.1,0.075,250.9,0.5216216216216216
106,2018-01-13 00:00:00,302,MH07-XL-Gray,24,17.38,9,216,156.42,0.4418604651162791,59.58000000000001,0.2758333333333334
107,2018-01-13 00:00:00,485,MH07-XL-Green,35,11.46,41,1435,469.86,0.14634146341463414,965.14,0.6725714285714286
108,2018-01-13 00:00:00,92,MH07-XS-Black,32,15.36,47,1504,721.92,0.2727272727272727,782.08,0.52
109,2018-01-13 00:00:00,257,MH07-XS-Gray,35,14.700000000000001,7,245,102.9,0.18604651162790697,142.1,0.58
110,2018-01-13 00:00:00,84,MH07-XS-Green,20,16.400000000000002,48,960,787.2,0.5238095238095238,172.79999999999995,0.17999999999999997
111,2018-01-13 00:00:00,522,MH08-S-Pink,45,18.58,25,1125,464.5,0,660.5,0.5871111111111111
112,2018-01-14 00:00:00,416,MH07-S-Black,30,13.71,25,750,342.75,0.3181818181818182,407.25,0.543
113,2018-01-14 00:00:00,154,MH08-L-Brown,37,20.27,6,222,121.62,0.13953488372093023,100.38,0.45216216216216215
